offline_datapoint_22 1701779606 732403,000
offline_datapoint_16 1701779606 3633,000
offline_datapoint_7 1701779606 567889920,000
offline_datapoint_25 1701779606 482246656,000
offline_datapoint_14 1701779606 7387009024,000
offline_datapoint_20 1701779606 202563584,000
offline_datapoint_6 1701779606 1718,000
offline_datapoint_0 1701779604 3127,556
offline_datapoint_19 1701779604 35670,795
offline_datapoint_2 1701779606 202563584,000
offline_datapoint_12 1701779604 639,689
offline_datapoint_1 1701779606 4427939840,000
offline_datapoint_18 1701779606 3662266368,000
offline_datapoint_17 1701779604 0,653
offline_datapoint_23 1701779604 54,004
offline_datapoint_5 1701779604 31,492
offline_datapoint_24 1701779604 8683,124
offline_datapoint_29 1701779606 0,000
offline_datapoint_11 1701779604 11976,538
offline_datapoint_27 1701779604 1635,839
offline_datapoint_9 1701779604 330,318
offline_datapoint_28 1701779604 595,550
offline_datapoint_21 1701779604 86,378
offline_datapoint_10 1701779604 4,013
offline_datapoint_3 1701779604 21111,591
offline_datapoint_15 1701779604 6,606
offline_datapoint_22 1701779609 732403,000
offline_datapoint_16 1701779609 3665,000
offline_datapoint_7 1701779609 567881728,000
offline_datapoint_25 1701779609 482291712,000
offline_datapoint_14 1701779609 7414411264,000
offline_datapoint_20 1701779609 201220096,000
offline_datapoint_6 1701779609 1705,000
offline_datapoint_0 1701779607 19,945
offline_datapoint_19 1701779607 29628,496
offline_datapoint_2 1701779609 201220096,000
offline_datapoint_12 1701779607 12,964
offline_datapoint_1 1701779609 4454092800,000
offline_datapoint_18 1701779609 3697573888,000
offline_datapoint_17 1701779607 0,260
offline_datapoint_23 1701779607 19,778
offline_datapoint_5 1701779607 9,995
offline_datapoint_24 1701779607 4781,738
offline_datapoint_29 1701779609 0,000
offline_datapoint_11 1701779607 6195,484
offline_datapoint_27 1701779607 1458,289
offline_datapoint_9 1701779607 4,465
offline_datapoint_28 1701779607 75,457
offline_datapoint_21 1701779607 96,462
offline_datapoint_10 1701779607 9,972
offline_datapoint_3 1701779607 8967,894
offline_datapoint_15 1701779607 0,089
offline_datapoint_22 1701779612 732403,000
offline_datapoint_16 1701779612 3673,000
offline_datapoint_7 1701779612 567918592,000
offline_datapoint_25 1701779612 482529280,000
offline_datapoint_14 1701779612 7419179008,000
offline_datapoint_20 1701779612 200404992,000
offline_datapoint_6 1701779612 1728,000
offline_datapoint_0 1701779610 26,411
offline_datapoint_19 1701779610 14647,383
offline_datapoint_2 1701779612 200404992,000
offline_datapoint_12 1701779610 8,692
offline_datapoint_1 1701779612 4455976960,000
offline_datapoint_18 1701779612 3707961344,000
offline_datapoint_17 1701779610 0,261
offline_datapoint_23 1701779610 15,633
offline_datapoint_5 1701779610 6,791
offline_datapoint_24 1701779610 3921,860
offline_datapoint_29 1701779612 1,000
offline_datapoint_11 1701779610 7130,290
offline_datapoint_27 1701779610 824,089
offline_datapoint_9 1701779610 26,647
offline_datapoint_28 1701779610 81,239
offline_datapoint_21 1701779610 89,630
offline_datapoint_10 1701779610 12,035
offline_datapoint_3 1701779610 9085,366
offline_datapoint_15 1701779610 0,533
offline_datapoint_22 1701779615 732403,000
offline_datapoint_16 1701779615 3669,000
offline_datapoint_7 1701779615 567889920,000
offline_datapoint_25 1701779615 482582528,000
offline_datapoint_14 1701779615 7382593536,000
offline_datapoint_20 1701779615 200560640,000
offline_datapoint_6 1701779615 1726,000
offline_datapoint_0 1701779613 7,909
offline_datapoint_19 1701779613 14291,085
offline_datapoint_2 1701779615 200560640,000
offline_datapoint_12 1701779613 2,307
offline_datapoint_1 1701779615 4455247872,000
offline_datapoint_18 1701779615 3703869440,000
offline_datapoint_17 1701779613 0,386
offline_datapoint_23 1701779613 14,784
offline_datapoint_5 1701779613 5,793
offline_datapoint_24 1701779613 2694,759
offline_datapoint_29 1701779615 0,000
offline_datapoint_11 1701779613 4786,434
offline_datapoint_27 1701779613 1336,010
offline_datapoint_9 1701779613 1,009
offline_datapoint_28 1701779613 54,376
offline_datapoint_21 1701779613 96,728
offline_datapoint_10 1701779613 1,318
