285 1701730504 0,000000 0,000000 -101,000000 0,000000 0,000000
285 1701730505 0,000000 0,000000 -101,000000 0,000000 0,000000
285 1701730506 0,000000 0,000000 -101,000000 0,000000 0,000000
285 1701730507 0,000000 0,000000 -101,000000 0,000000 0,000000
285 1701730508 4,000000 0,800000 3,200000 3,200000 -20,200000
285 1701730509 4,000000 0,800000 6,400000 6,400000 -20,200000
285 1701730510 4,000000 0,800000 9,600000 9,600000 -20,200000
285 1701730511 4,000000 0,800000 12,800000 12,800000 -20,200000
285 1701730512 4,000000 0,800000 16,000000 16,000000 -20,200000
285 1701730513 1,923077 2,600000 21,000000 21,000000 -20,200000
285 1701730514 1,923077 2,600000 26,000000 26,000000 -20,200000
285 1701730515 1,923077 2,600000 31,000000 31,000000 -20,200000
285 1701730516 1,923077 2,600000 36,000000 36,000000 -20,200000
285 1701730517 1,923077 2,600000 41,000000 41,000000 -20,200000
285 1701730518 0,041667 4,800000 41,200000 41,200000 -20,200000
285 1701730519 0,041667 4,800000 41,400000 41,400000 -20,200000
285 1701730520 0,041667 4,800000 41,600000 41,600000 -20,200000
285 1701730521 0,041667 4,800000 41,800000 41,800000 -20,200000
285 1701730522 0,041667 4,800000 42,000000 42,000000 -20,200000
285 1701730523 -0,472222 7,200000 38,600000 38,600000 -20,200000
285 1701730524 -0,472222 7,200000 35,200000 35,200000 -20,200000
285 1701730525 -0,472222 7,200000 31,800000 31,800000 -20,200000
285 1701730526 -0,472222 7,200000 28,400000 28,400000 -20,200000
285 1701730527 -0,472222 7,200000 25,000000 25,000000 -20,200000
285 1701730528 -0,095238 8,400000 24,200000 24,200000 -20,200000
285 1701730529 -0,095238 8,400000 23,400000 23,400000 -20,200000
285 1701730530 -0,095238 8,400000 22,600000 22,600000 -20,200000
285 1701730531 -0,095238 8,400000 21,800000 21,800000 -20,200000
285 1701730532 -0,095238 8,400000 21,000000 21,000000 -20,200000
285 1701730533 0,000000 9,200000 21,000000 21,000000 -20,200000
285 1701730534 0,000000 9,200000 21,000000 21,000000 -20,200000
285 1701730535 0,000000 9,200000 21,000000 21,000000 -20,200000
285 1701730536 0,000000 9,200000 21,000000 21,000000 -20,200000
285 1701730537 0,000000 9,200000 21,000000 21,000000 -20,200000
285 1701730538 0,040816 9,800000 21,400000 21,400000 -20,200000
285 1701730539 0,040816 9,800000 21,800000 21,800000 -20,200000
285 1701730540 0,040816 9,800000 22,200000 22,200000 -20,200000
285 1701730541 0,040816 9,800000 22,600000 22,600000 -20,200000
285 1701730542 0,040816 9,800000 23,000000 23,000000 -20,200000
285 1701730543 0,000000 9,800000 23,000000 23,000000 -20,200000
285 1701730544 0,000000 9,800000 23,000000 23,000000 -20,200000
285 1701730545 0,000000 9,800000 23,000000 23,000000 -20,200000
285 1701730546 0,000000 9,800000 23,000000 23,000000 -20,200000
285 1701730547 0,000000 9,800000 23,000000 23,000000 -20,200000
285 1701730548 0,020000 10,000000 23,200000 23,200000 -20,200000
285 1701730549 0,020000 10,000000 23,400000 23,400000 -20,200000
285 1701730550 0,020000 10,000000 23,600000 23,600000 -20,200000
285 1701730551 0,020000 10,000000 23,800000 23,800000 -20,200000
285 1701730552 0,020000 10,000000 24,000000 24,000000 -20,200000
285 1701730553 0,057692 10,400000 24,600000 24,600000 -20,200000
285 1701730554 0,057692 10,400000 25,200000 25,200000 -20,200000
285 1701730555 0,057692 10,400000 25,800000 25,800000 -20,200000
285 1701730556 0,057692 10,400000 26,400000 26,400000 -20,200000
285 1701730557 0,057692 10,400000 27,000000 27,000000 -20,200000
285 1701730558 0,000000 10,800000 27,000000 27,000000 -20,200000
285 1701730559 0,000000 10,800000 27,000000 27,000000 -20,200000
