offline_datapoint_11 1701728921 732250,000
offline_datapoint_5 1701728921 3829,000
offline_datapoint_26 1701728921 375787520,000
offline_datapoint_14 1701728921 409591808,000
offline_datapoint_3 1701728921 6725083136,000
offline_datapoint_9 1701728921 193945600,000
offline_datapoint_25 1701728921 875,000
offline_datapoint_19 1701728919 157,907
offline_datapoint_8 1701728919 16264,421
offline_datapoint_21 1701728921 193945600,000
offline_datapoint_1 1701728919 18,027
offline_datapoint_20 1701728921 4069941248,000
offline_datapoint_7 1701728921 6970904576,000
offline_datapoint_6 1701728919 1,435
offline_datapoint_12 1701728919 30,076
offline_datapoint_24 1701728919 17,611
offline_datapoint_13 1701728919 5723,378
offline_datapoint_18 1701728921 11,000
offline_datapoint_0 1701728919 7815,228
offline_datapoint_16 1701728919 1379,433
offline_datapoint_28 1701728919 4,559
offline_datapoint_17 1701728919 20,698
offline_datapoint_10 1701728919 95,549
offline_datapoint_29 1701728919 0,668
offline_datapoint_22 1701728919 37334,710
offline_datapoint_4 1701728919 0,091
offline_datapoint_11 1701728924 732245,000
offline_datapoint_5 1701728924 3862,000
offline_datapoint_26 1701728924 376049664,000
offline_datapoint_14 1701728924 409718784,000
offline_datapoint_3 1701728924 6751477760,000
offline_datapoint_9 1701728924 192643072,000
offline_datapoint_25 1701728924 843,000
offline_datapoint_19 1701728922 8,323
offline_datapoint_8 1701728922 24245,110
offline_datapoint_21 1701728924 192643072,000
offline_datapoint_1 1701728922 3,329
offline_datapoint_20 1701728924 4090781696,000
offline_datapoint_7 1701728924 6986178560,000
offline_datapoint_6 1701728922 0,390
offline_datapoint_12 1701728922 39,560
offline_datapoint_24 1701728922 20,147
offline_datapoint_13 1701728922 4690,959
offline_datapoint_18 1701728924 0,000
offline_datapoint_0 1701728922 7415,450
offline_datapoint_16 1701728922 1577,302
offline_datapoint_28 1701728922 1,352
offline_datapoint_17 1701728922 40,614
offline_datapoint_10 1701728922 97,343
offline_datapoint_29 1701728922 3,329
offline_datapoint_22 1701728922 11217,836
offline_datapoint_4 1701728922 0,027
offline_datapoint_11 1701728927 732245,000
offline_datapoint_5 1701728927 3873,000
offline_datapoint_26 1701728927 376049664,000
offline_datapoint_14 1701728927 409722880,000
offline_datapoint_3 1701728927 6759297024,000
offline_datapoint_9 1701728927 192958464,000
offline_datapoint_25 1701728927 835,000
