1701748503	0	1701748504
1701748504	1	1701748505
1701748505	2	1701748506
1701748506	3	1701748507
1701748507	4	1701748508
1701748508	5	1701748509
1701748509	7	1701748511
1701748511	8	1701748512
1701748512	9	1701748513
1701748513	10	1701749833
1701749833	11	1701749834
1701749834	12	1701749835
1701749835	13	1701749836
1701749836	14	1701749837
1701749837	15	1701749838
1701749838	16	1701749839
1701749839	17	1701749840
1701749840	18	1701749841
1701749841	19	1701749842
1701749842	20	1701751162
1701751162	21	1701751163
1701751163	22	1701751164
1701751164	23	1701751165
1701751165	24	1701751166
1701751166	25	1701751167
1701751167	26	1701751168
1701751168	27	1701751169
1701751169	28	1701751170
1701751170	29	1701751171
1701751171	30	1701752492
1701752492	31	1701752493
1701752493	32	1701752494
1701752494	33	1701752495
1701752495	34	1701752496
1701752496	35	1701752497
1701752497	36	1701752498
1701752498	37	1701752499
1701752499	38	1701752500
1701752500	39	1701752501
1701752501	40	1701753821
1701753821	41	1701753822
1701753822	42	1701753823
1701753823	43	1701753824
1701753824	44	1701753825
1701753825	45	1701753826
1701753826	46	1701753827
1701753827	47	1701753828
1701753828	48	1701753829
1701753829	49	1701753830
1701753830	50	1701755150
1701755150	41	1701755153
1701755153	40	1701755155
1701755155	38	1701755159
1701755159	36	1701755163
1701755163	35	1701755165
1701755165	32	1701755169
1701755169	31	1701755170
1701755170	30	1701755171
1701755171	28	1701755176
1701755176	27	1701755178
1701755178	24	1701755181
1701755181	23	1701755182
1701755182	18	1701755183
1701755183	16	1701755185
1701755185	11	1701755187
1701755187	10	1701755188
1701755188	9	1701755189
1701755189	8	1701755191
1701755191	6	1701755192
1701755192	5	1701755193
1701755193	4	1701755194
1701755194	3	1701755197
1701755197	2	1701755202
