146 1701728920 0,001296 2,000000 0,000472 0,005593 0,000008
143 1701728920 0,534036 2,000000 0,261567 0,855800 0,669240
146 1701728921 0,001296 2,000000 0,000472 0,005593 0,000008
143 1701728921 0,534036 2,000000 0,261567 0,855800 0,669240
146 1701728922 0,001296 2,000000 0,000472 0,005593 0,000008
143 1701728922 0,534036 2,000000 0,261567 0,855800 0,669240
146 1701728923 0,001296 2,000000 0,000472 0,005593 0,000008
143 1701728923 0,534036 2,000000 0,261567 0,855800 0,669240
149 1701728925 0,387765 0,400000 0,229418 0,546112 0,070174
146 1701728924 0,001296 2,000000 0,000472 0,005593 0,000008
143 1701728924 0,534036 2,000000 0,261567 0,855800 0,669240
152 1701728925 0,387133 1,600000 0,200651 0,504595 0,259069
149 1701728926 0,387765 0,400000 0,229418 0,546112 0,070174
152 1701728926 0,387133 1,600000 0,200651 0,504595 0,259069
149 1701728927 0,387765 0,400000 0,229418 0,546112 0,070174
152 1701728927 0,387133 1,600000 0,200651 0,504595 0,259069
149 1701728928 0,387765 0,400000 0,229418 0,546112 0,070174
152 1701728928 0,387133 1,600000 0,200651 0,504595 0,259069
149 1701728929 0,387765 0,400000 0,229418 0,546112 0,070174
152 1701728929 0,387133 1,600000 0,200651 0,504595 0,259069
175 1701728930 0,247454 1,200000 0,172426 0,319895 0,076718
169 1701728930 0,117640 0,400000 0,099651 0,135629 0,005665
172 1701728930 0,274218 0,400000 0,250766 0,297671 0,030298
175 1701728931 0,247454 1,200000 0,172426 0,319895 0,076718
169 1701728931 0,117640 0,400000 0,099651 0,135629 0,005665
172 1701728931 0,274218 0,400000 0,250766 0,297671 0,030298
172 1701728932 0,274218 0,400000 0,250766 0,297671 0,030298
175 1701728932 0,247454 1,200000 0,172426 0,319895 0,076718
169 1701728932 0,117640 0,400000 0,099651 0,135629 0,005665
175 1701728933 0,247454 1,200000 0,172426 0,319895 0,076718
169 1701728933 0,117640 0,400000 0,099651 0,135629 0,005665
172 1701728933 0,274218 0,400000 0,250766 0,297671 0,030298
175 1701728934 0,247454 1,200000 0,172426 0,319895 0,076718
169 1701728934 0,117640 0,400000 0,099651 0,135629 0,005665
172 1701728934 0,274218 0,400000 0,250766 0,297671 0,030298
185 1701728935 0,131088 0,200000 0,131088 0,131088 0,003437
191 1701728935 0,192816 0,400000 0,180188 0,205444 0,014935
197 1701728935 0,168811 0,600000 0,159124 0,174472 0,017127
194 1701728935 16,710667 0,200000 16,710667 16,710667 55,849276
179 1701728935 0,118413 0,800000 0,100615 0,147667 0,011491
182 1701728935 16,301638 0,400000 15,896607 16,706668 106,362974
188 1701728935 16,438102 0,600000 15,896765 16,710773 162,214631
185 1701728936 0,131088 0,200000 0,131088 0,131088 0,003437
191 1701728936 0,192816 0,400000 0,180188 0,205444 0,014935
197 1701728936 0,168811 0,600000 0,159124 0,174472 0,017127
194 1701728936 16,710667 0,200000 16,710667 16,710667 55,849276
179 1701728936 0,118413 0,800000 0,100615 0,147667 0,011491
182 1701728936 16,301638 0,400000 15,896607 16,706668 106,362974
188 1701728936 16,438102 0,600000 15,896765 16,710773 162,214631
185 1701728937 0,131088 0,200000 0,131088 0,131088 0,003437
191 1701728937 0,192816 0,400000 0,180188 0,205444 0,014935
197 1701728937 0,168811 0,600000 0,159124 0,174472 0,017127
194 1701728937 16,710667 0,200000 16,710667 16,710667 55,849276
179 1701728937 0,118413 0,800000 0,100615 0,147667 0,011491
182 1701728937 16,301638 0,400000 15,896607 16,706668 106,362974
188 1701728937 16,438102 0,600000 15,896765 16,710773 162,214631
185 1701728938 0,131088 0,200000 0,131088 0,131088 0,003437
191 1701728938 0,192816 0,400000 0,180188 0,205444 0,014935
197 1701728938 0,168811 0,600000 0,159124 0,174472 0,017127
194 1701728938 16,710667 0,200000 16,710667 16,710667 55,849276
179 1701728938 0,118413 0,800000 0,100615 0,147667 0,011491
182 1701728938 16,301638 0,400000 15,896607 16,706668 106,362974
188 1701728938 16,438102 0,600000 15,896765 16,710773 162,214631
185 1701728939 0,131088 0,200000 0,131088 0,131088 0,003437
191 1701728939 0,192816 0,400000 0,180188 0,205444 0,014935
197 1701728939 0,168811 0,600000 0,159124 0,174472 0,017127
194 1701728939 16,710667 0,200000 16,710667 16,710667 55,849276
179 1701728939 0,118413 0,800000 0,100615 0,147667 0,011491
182 1701728939 16,301638 0,400000 15,896607 16,706668 106,362974
188 1701728939 16,438102 0,600000 15,896765 16,710773 162,214631
200 1701728940 0,096598 0,800000 0,084795 0,108395 0,007537
197 1701728940 0,146950 0,600000 0,136873 0,160175 0,013014
206 1701728940 21,430090 0,400000 20,999825 21,860356 183,773558
203 1701728940 21,924419 0,200000 21,924419 21,924419 96,136027
188 1701728940 21,595015 0,600000 20,999924 21,924625 279,913446
200 1701728941 0,096598 0,800000 0,084795 0,108395 0,007537
197 1701728941 0,146950 0,600000 0,136873 0,160175 0,013014
206 1701728941 21,430090 0,400000 20,999825 21,860356 183,773558
203 1701728941 21,924419 0,200000 21,924419 21,924419 96,136027
188 1701728941 21,595015 0,600000 20,999924 21,924625 279,913446
200 1701728942 0,096598 0,800000 0,084795 0,108395 0,007537
197 1701728942 0,146950 0,600000 0,136873 0,160175 0,013014
206 1701728942 21,430090 0,400000 20,999825 21,860356 183,773558
203 1701728942 21,924419 0,200000 21,924419 21,924419 96,136027
188 1701728942 21,595015 0,600000 20,999924 21,924625 279,913446
200 1701728943 0,096598 0,800000 0,084795 0,108395 0,007537
197 1701728943 0,146950 0,600000 0,136873 0,160175 0,013014
206 1701728943 21,430090 0,400000 20,999825 21,860356 183,773558
203 1701728943 21,924419 0,200000 21,924419 21,924419 96,136027
188 1701728943 21,595015 0,600000 20,999924 21,924625 279,913446
200 1701728944 0,096598 0,800000 0,084795 0,108395 0,007537
197 1701728944 0,146950 0,600000 0,136873 0,160175 0,013014
206 1701728944 21,430090 0,400000 20,999825 21,860356 183,773558
203 1701728944 21,924419 0,200000 21,924419 21,924419 96,136027
188 1701728944 21,595015 0,600000 20,999924 21,924625 279,913446
212 1701728945 0,113755 0,400000 0,091132 0,136377 0,005381
197 1701728945 0,166929 0,400000 0,132277 0,201581 0,011626
209 1701728945 26,602045 0,400000 26,245904 26,958186 283,118250
188 1701728945 26,602135 0,400000 26,245986 26,958284 283,120175
212 1701728946 0,113755 0,400000 0,091132 0,136377 0,005381
197 1701728946 0,166929 0,400000 0,132277 0,201581 0,011626
209 1701728946 26,602045 0,400000 26,245904 26,958186 283,118250
188 1701728946 26,602135 0,400000 26,245986 26,958284 283,120175
212 1701728947 0,113755 0,400000 0,091132 0,136377 0,005381
197 1701728947 0,166929 0,400000 0,132277 0,201581 0,011626
209 1701728947 26,602045 0,400000 26,245904 26,958186 283,118250
188 1701728947 26,602135 0,400000 26,245986 26,958284 283,120175
212 1701728948 0,113755 0,400000 0,091132 0,136377 0,005381
197 1701728948 0,166929 0,400000 0,132277 0,201581 0,011626
209 1701728948 26,602045 0,400000 26,245904 26,958186 283,118250
188 1701728948 26,602135 0,400000 26,245986 26,958284 283,120175
212 1701728949 0,113755 0,400000 0,091132 0,136377 0,005381
197 1701728949 0,166929 0,400000 0,132277 0,201581 0,011626
209 1701728949 26,602045 0,400000 26,245904 26,958186 283,118250
188 1701728949 26,602135 0,400000 26,245986 26,958284 283,120175
172 1701728950 0,201149 0,400000 0,201034 0,201264 0,016184
215 1701728950 31,695340 0,400000 31,375075 32,015604 401,878854
188 1701728950 31,695435 0,400000 31,375142 32,015728 401,881273
172 1701728951 0,201149 0,400000 0,201034 0,201264 0,016184
215 1701728951 31,695340 0,400000 31,375075 32,015604 401,878854
188 1701728951 31,695435 0,400000 31,375142 32,015728 401,881273
172 1701728952 0,201149 0,400000 0,201034 0,201264 0,016184
215 1701728952 31,695340 0,400000 31,375075 32,015604 401,878854
188 1701728952 31,695435 0,400000 31,375142 32,015728 401,881273
172 1701728953 0,201149 0,400000 0,201034 0,201264 0,016184
215 1701728953 31,695340 0,400000 31,375075 32,015604 401,878854
188 1701728953 31,695435 0,400000 31,375142 32,015728 401,881273
172 1701728954 0,201149 0,400000 0,201034 0,201264 0,016184
215 1701728954 31,695340 0,400000 31,375075 32,015604 401,878854
188 1701728954 31,695435 0,400000 31,375142 32,015728 401,881273
143 1701728960 0,133140 0,400000 0,133034 0,133247 0,007091
143 1701728961 0,133140 0,400000 0,133034 0,133247 0,007091
143 1701728962 0,133140 0,400000 0,133034 0,133247 0,007091
143 1701728963 0,133140 0,400000 0,133034 0,133247 0,007091
143 1701728964 0,133140 0,400000 0,133034 0,133247 0,007091
152 1701728965 0,154840 0,400000 0,148636 0,161043 0,009606
152 1701728966 0,154840 0,400000 0,148636 0,161043 0,009606
152 1701728967 0,154840 0,400000 0,148636 0,161043 0,009606
152 1701728968 0,154840 0,400000 0,148636 0,161043 0,009606
152 1701728969 0,154840 0,400000 0,148636 0,161043 0,009606
175 1701728970 0,160396 0,400000 0,152184 0,168608 0,010318
143 1701728970 0,143154 0,200000 0,143154 0,143154 0,004099
175 1701728971 0,160396 0,400000 0,152184 0,168608 0,010318
143 1701728971 0,143154 0,200000 0,143154 0,143154 0,004099
175 1701728972 0,160396 0,400000 0,152184 0,168608 0,010318
143 1701728972 0,143154 0,200000 0,143154 0,143154 0,004099
175 1701728973 0,160396 0,400000 0,152184 0,168608 0,010318
143 1701728973 0,143154 0,200000 0,143154 0,143154 0,004099
175 1701728974 0,160396 0,400000 0,152184 0,168608 0,010318
143 1701728974 0,143154 0,200000 0,143154 0,143154 0,004099
179 1701728975 0,080262 0,400000 0,079884 0,080640 0,002577
152 1701728975 0,154006 0,200000 0,154006 0,154006 0,004744
