511 1701780377 0,200000 -1,000000 0,200000 0,200000 0,016000
511 1701780376 0,200000 -1,000000 0,200000 0,200000 0,016000
511 1701780375 0,200000 -1,000000 0,200000 0,200000 0,016000
511 1701780374 0,200000 -1,000000 0,200000 0,200000 0,016000
511 1701780373 0,200000 -1,000000 0,200000 0,200000 0,016000
516 1701780377 0,200000 -1,000000 0,200000 0,200000 0,016000
516 1701780376 0,200000 -1,000000 0,200000 0,200000 0,016000
516 1701780375 0,200000 -1,000000 0,200000 0,200000 0,016000
516 1701780374 0,200000 -1,000000 0,200000 0,200000 0,016000
516 1701780373 0,200000 -1,000000 0,200000 0,200000 0,016000
514 1701780377 0,200000 -1,000000 0,200000 0,200000 0,016000
514 1701780376 0,200000 -1,000000 0,200000 0,200000 0,016000
514 1701780375 0,200000 -1,000000 0,200000 0,200000 0,016000
514 1701780374 0,200000 -1,000000 0,200000 0,200000 0,016000
514 1701780373 0,200000 -1,000000 0,200000 0,200000 0,016000
511 1701780373 0,200000 -1,000000 -101,000000 0,000000 0,000000
511 1701780374 0,200000 -1,000000 -101,000000 0,000000 0,000000
511 1701780375 0,200000 -1,000000 -101,000000 0,000000 0,000000
511 1701780376 0,200000 -1,000000 -101,000000 0,000000 0,000000
511 1701780377 0,200000 -1,000000 -101,000000 0,000000 0,000000
514 1701780373 0,200000 -1,000000 -101,000000 0,000000 0,000000
514 1701780374 0,200000 -1,000000 -101,000000 0,000000 0,000000
514 1701780375 0,200000 -1,000000 -101,000000 0,000000 0,000000
514 1701780376 0,200000 -1,000000 -101,000000 0,000000 0,000000
514 1701780377 0,200000 -1,000000 -101,000000 0,000000 0,000000
516 1701780373 0,200000 -1,000000 -101,000000 0,000000 0,000000
516 1701780374 0,200000 -1,000000 -101,000000 0,000000 0,000000
516 1701780375 0,200000 -1,000000 -101,000000 0,000000 0,000000
516 1701780376 0,200000 -1,000000 -101,000000 0,000000 0,000000
516 1701780377 0,200000 -1,000000 -101,000000 0,000000 0,000000
514 1701780893 0,200000 -1,000000 -101,000000 0,000000 0,000000
514 1701780894 0,200000 -1,000000 -101,000000 0,000000 0,000000
514 1701780895 0,200000 -1,000000 -101,000000 0,000000 0,000000
514 1701780896 0,200000 -1,000000 -101,000000 0,000000 0,000000
514 1701780897 0,200000 -1,000000 -101,000000 0,000000 0,000000
514 1701781003 0,200000 -1,000000 -101,000000 0,000000 0,000000
514 1701781004 0,200000 -1,000000 -101,000000 0,000000 0,000000
514 1701781005 0,200000 -1,000000 -101,000000 0,000000 0,000000
514 1701781006 0,200000 -1,000000 -101,000000 0,000000 0,000000
514 1701781007 0,200000 -1,000000 -101,000000 0,000000 0,000000
522 1701781003 0,200000 -1,000000 -101,000000 0,000000 0,000000
522 1701781004 0,200000 -1,000000 -101,000000 0,000000 0,000000
522 1701781005 0,200000 -1,000000 -101,000000 0,000000 0,000000
522 1701781006 0,200000 -1,000000 -101,000000 0,000000 0,000000
522 1701781007 0,200000 -1,000000 -101,000000 0,000000 0,000000
511 1701780893 0,200000 -1,000000 -101,000000 0,000000 0,000000
511 1701780894 0,200000 -1,000000 -101,000000 0,000000 0,000000
511 1701780895 0,200000 -1,000000 -101,000000 0,000000 0,000000
511 1701780896 0,200000 -1,000000 -101,000000 0,000000 0,000000
511 1701780897 0,200000 -1,000000 -101,000000 0,000000 0,000000
516 1701780893 0,200000 -1,000000 -101,000000 0,000000 0,000000
516 1701780894 0,200000 -1,000000 -101,000000 0,000000 0,000000
