436 1701779603 0,000550 0,800000 0,000429 0,000806 0,000000
433 1701779603 0,187267 0,800000 0,142204 0,288510 0,030922
436 1701779604 0,000550 0,800000 0,000429 0,000806 0,000000
433 1701779604 0,187267 0,800000 0,142204 0,288510 0,030922
433 1701779605 0,187267 0,800000 0,142204 0,288510 0,030922
436 1701779605 0,000550 0,800000 0,000429 0,000806 0,000000
436 1701779606 0,000550 0,800000 0,000429 0,000806 0,000000
433 1701779606 0,187267 0,800000 0,142204 0,288510 0,030922
436 1701779607 0,000550 0,800000 0,000429 0,000806 0,000000
433 1701779607 0,187267 0,800000 0,142204 0,288510 0,030922
439 1701779608 0,553070 0,200000 0,553070 0,553070 0,061177
436 1701779608 0,000478 1,000000 0,000355 0,000572 0,000000
433 1701779608 0,148573 1,000000 0,134812 0,165216 0,022233
442 1701779608 0,232004 0,600000 0,156703 0,372563 0,038233
439 1701779609 0,553070 0,200000 0,553070 0,553070 0,061177
436 1701779609 0,000478 1,000000 0,000355 0,000572 0,000000
433 1701779609 0,148573 1,000000 0,134812 0,165216 0,022233
442 1701779609 0,232004 0,600000 0,156703 0,372563 0,038233
433 1701779610 0,148573 1,000000 0,134812 0,165216 0,022233
442 1701779610 0,232004 0,600000 0,156703 0,372563 0,038233
439 1701779610 0,553070 0,200000 0,553070 0,553070 0,061177
436 1701779610 0,000478 1,000000 0,000355 0,000572 0,000000
439 1701779611 0,553070 0,200000 0,553070 0,553070 0,061177
436 1701779611 0,000478 1,000000 0,000355 0,000572 0,000000
433 1701779611 0,148573 1,000000 0,134812 0,165216 0,022233
442 1701779611 0,232004 0,600000 0,156703 0,372563 0,038233
439 1701779612 0,553070 0,200000 0,553070 0,553070 0,061177
436 1701779612 0,000478 1,000000 0,000355 0,000572 0,000000
433 1701779612 0,148573 1,000000 0,134812 0,165216 0,022233
442 1701779612 0,232004 0,600000 0,156703 0,372563 0,038233
462 1701779613 0,201062 0,400000 0,168278 0,233847 0,016600
439 1701779613 0,093104 0,200000 0,093104 0,093104 0,001734
459 1701779613 0,077923 0,200000 0,077923 0,077923 0,001214
436 1701779613 0,000439 1,000000 0,000331 0,000541 0,000000
433 1701779613 0,161273 1,000000 0,136454 0,212645 0,026775
442 1701779613 0,173273 0,800000 0,163703 0,195005 0,024147
462 1701779614 0,201062 0,400000 0,168278 0,233847 0,016600
439 1701779614 0,093104 0,200000 0,093104 0,093104 0,001734
459 1701779614 0,077923 0,200000 0,077923 0,077923 0,001214
436 1701779614 0,000439 1,000000 0,000331 0,000541 0,000000
433 1701779614 0,161273 1,000000 0,136454 0,212645 0,026775
442 1701779614 0,173273 0,800000 0,163703 0,195005 0,024147
433 1701779615 0,161273 1,000000 0,136454 0,212645 0,026775
462 1701779615 0,201062 0,400000 0,168278 0,233847 0,016600
442 1701779615 0,173273 0,800000 0,163703 0,195005 0,024147
462 1701779616 0,201062 0,400000 0,168278 0,233847 0,016600
439 1701779615 0,093104 0,200000 0,093104 0,093104 0,001734
439 1701779616 0,093104 0,200000 0,093104 0,093104 0,001734
459 1701779615 0,077923 0,200000 0,077923 0,077923 0,001214
459 1701779616 0,077923 0,200000 0,077923 0,077923 0,001214
436 1701779615 0,000439 1,000000 0,000331 0,000541 0,000000
436 1701779616 0,000439 1,000000 0,000331 0,000541 0,000000
433 1701779616 0,161273 1,000000 0,136454 0,212645 0,026775
442 1701779616 0,173273 0,800000 0,163703 0,195005 0,024147
462 1701779617 0,201062 0,400000 0,168278 0,233847 0,016600
439 1701779617 0,093104 0,200000 0,093104 0,093104 0,001734
459 1701779617 0,077923 0,200000 0,077923 0,077923 0,001214
436 1701779617 0,000439 1,000000 0,000331 0,000541 0,000000
433 1701779617 0,161273 1,000000 0,136454 0,212645 0,026775
442 1701779617 0,173273 0,800000 0,163703 0,195005 0,024147
462 1701779618 0,618975 0,400000 0,155485 1,082465 0,239181
469 1701779618 1,330579 0,200000 1,330579 1,330579 0,354088
439 1701779618 0,464734 0,200000 0,464734 0,464734 0,043196
459 1701779618 0,107602 0,200000 0,107602 0,107602 0,002316
436 1701779618 0,000403 1,000000 0,000314 0,000536 0,000000
466 1701779618 0,905151 0,400000 0,216586 1,593716 0,517368
433 1701779618 0,347439 0,400000 0,170530 0,524348 0,060804
442 1701779618 0,838576 0,600000 0,404975 1,072575 0,478447
462 1701779619 0,618975 0,400000 0,155485 1,082465 0,239181
469 1701779619 1,330579 0,200000 1,330579 1,330579 0,354088
439 1701779619 0,464734 0,200000 0,464734 0,464734 0,043196
459 1701779619 0,107602 0,200000 0,107602 0,107602 0,002316
436 1701779619 0,000403 1,000000 0,000314 0,000536 0,000000
466 1701779619 0,905151 0,400000 0,216586 1,593716 0,517368
433 1701779619 0,347439 0,400000 0,170530 0,524348 0,060804
442 1701779619 0,838576 0,600000 0,404975 1,072575 0,478447
462 1701779620 0,618975 0,400000 0,155485 1,082465 0,239181
469 1701779620 1,330579 0,200000 1,330579 1,330579 0,354088
439 1701779620 0,464734 0,200000 0,464734 0,464734 0,043196
459 1701779620 0,107602 0,200000 0,107602 0,107602 0,002316
