offline_datapoint_16 1701730504 732224,000
offline_datapoint_10 1701730504 3140,000
offline_datapoint_1 1701730504 393269248,000
offline_datapoint_19 1701730504 418398208,000
offline_datapoint_8 1701730504 6746099712,000
offline_datapoint_14 1701730504 192200704,000
offline_datapoint_0 1701730504 1400,000
offline_datapoint_24 1701730502 981,638
offline_datapoint_13 1701730502 17611,354
offline_datapoint_26 1701730504 192196608,000
offline_datapoint_6 1701730502 305,952
offline_datapoint_25 1701730504 4048297984,000
offline_datapoint_12 1701730504 6313955328,000
offline_datapoint_11 1701730502 0,259
offline_datapoint_17 1701730502 27,611
offline_datapoint_29 1701730502 15,568
offline_datapoint_18 1701730502 4566,694
offline_datapoint_23 1701730504 3,000
offline_datapoint_5 1701730502 7201,670
offline_datapoint_21 1701730502 1052,728
offline_datapoint_3 1701730502 9,810
offline_datapoint_22 1701730502 285,356
offline_datapoint_15 1701730502 92,636
offline_datapoint_4 1701730502 0,000
offline_datapoint_27 1701730502 12856,624
offline_datapoint_9 1701730502 0,196
offline_datapoint_16 1701730507 732224,000
offline_datapoint_10 1701730507 3169,000
offline_datapoint_1 1701730507 393547776,000
offline_datapoint_19 1701730507 418693120,000
offline_datapoint_8 1701730507 6788481024,000
offline_datapoint_14 1701730507 192937984,000
offline_datapoint_0 1701730507 1367,000
offline_datapoint_24 1701730505 167,722
offline_datapoint_13 1701730505 27479,603
offline_datapoint_26 1701730507 192937984,000
offline_datapoint_6 1701730505 18,042
offline_datapoint_25 1701730507 4086718464,000
offline_datapoint_12 1701730507 6354608128,000
offline_datapoint_11 1701730505 0,653
offline_datapoint_17 1701730505 36,303
offline_datapoint_29 1701730505 22,190
offline_datapoint_18 1701730505 6133,864
offline_datapoint_23 1701730507 0,000
offline_datapoint_5 1701730505 8652,360
offline_datapoint_21 1701730505 1110,570
offline_datapoint_3 1701730505 3,078
offline_datapoint_22 1701730505 53,123
offline_datapoint_15 1701730505 96,241
offline_datapoint_4 1701730505 7,350
offline_datapoint_27 1701730505 21623,145
offline_datapoint_9 1701730505 0,062
offline_datapoint_16 1701730510 732224,000
offline_datapoint_10 1701730510 3194,000
offline_datapoint_1 1701730510 393711616,000
offline_datapoint_19 1701730510 418754560,000
offline_datapoint_8 1701730510 6816169984,000
offline_datapoint_14 1701730510 192864256,000
offline_datapoint_0 1701730510 1358,000
offline_datapoint_24 1701730508 8,969
offline_datapoint_13 1701730508 18541,788
offline_datapoint_26 1701730510 192864256,000
offline_datapoint_6 1701730508 8,637
offline_datapoint_25 1701730510 4111147008,000
offline_datapoint_12 1701730510 6383570944,000
offline_datapoint_11 1701730508 1,038
offline_datapoint_17 1701730508 21,878
offline_datapoint_29 1701730508 12,069
offline_datapoint_18 1701730508 4123,313
offline_datapoint_23 1701730510 0,000
offline_datapoint_5 1701730508 5980,515
offline_datapoint_21 1701730508 1441,648
offline_datapoint_3 1701730508 1,811
offline_datapoint_22 1701730508 53,480
offline_datapoint_15 1701730508 98,460
offline_datapoint_4 1701730508 10,962
offline_datapoint_27 1701730508 9413,168
offline_datapoint_9 1701730508 0,036
offline_datapoint_16 1701730513 732224,000
offline_datapoint_10 1701730513 3197,000
offline_datapoint_1 1701730513 393768960,000
offline_datapoint_19 1701730513 418766848,000
offline_datapoint_8 1701730513 6816329728,000
offline_datapoint_14 1701730513 191393792,000
offline_datapoint_0 1701730513 1357,000
offline_datapoint_24 1701730511 5,313
offline_datapoint_13 1701730511 12262,371
offline_datapoint_26 1701730513 191393792,000
offline_datapoint_6 1701730511 0,664
offline_datapoint_25 1701730513 4112744448,000
offline_datapoint_12 1701730513 6385487872,000
offline_datapoint_11 1701730511 1,816
offline_datapoint_17 1701730511 14,402
offline_datapoint_29 1701730511 7,393
